Fecha,BMV: AC *,BMV: ALSEA *,BMV: AMX L,BMV: ASUR B,BMV: BIMBO A,BMV: CEMEX CPO,BMV: FEMSA UBD,BMV: GMEXICO B,BMV: GRUMA B,BMV:OMA B,BMV:WALMEX *,BMV:AUTLAN B,BMV:GISSA A,BMV: Bachoco B,BMV:VITRO A,BMV: GAP B,BMV:GFNORTE O,BMV:HERDEZ *,MXN
3/20/2015,91.89,46.36,15.74,208.2,44.1,12.74821,140.45,46,200.97,71.27,37.09,14.30693,30.89,67.3,33.4,99.25,87.39,39.74,1
3/27/2015,93.2,45.1,15.62,210.96,42.77,12.81933,143.55,44.43,196.07,72.67,37.83,14.60396,30.07,63.93,33.7,100.58,87.8,39.31,1
4/3/2015,93.01,44.3,16.22,213.29,43.22,12.73932,144.03,44.64,196.27,75.66,38.24,14.50495,31.6,64.38,33.58,101.01,89.6,39.47,1
4/10/2015,98.3,45.09,16.17,220.15,43,13.21937,147.78,44.71,199.39,75.9,39.13,14.13861,31.69,66.6,33,100.94,87.52,42.7,1
4/17/2015,97.52,46.99,16.88,215.23,42.69,13.43273,143.68,45.8,197.07,77.67,37.7,13.81188,31.5,66.57,32.73,99.83,88.96,42,1
4/24/2015,96.44,46.89,16.98,233.13,42.44,14.15282,144.75,46.8,192.92,79.49,37.1,14.14851,33.2,69.68,33.49,114.08,87.94,41.11,1
5/1/2015,94.25,46.07,16.11,217.15,41.2,13.68343,139.08,47.36,184.99,76.62,36.24,13.07921,31.05,68.54,33.47,109.23,87.48,41.75,1
5/8/2015,96.27,47.15,15.78,227.4,41.9,14.17345,144.96,48.83,189.95,76.5,37.71,11.42574,32.82,72,35.3,110.61,90.4,41.6,1
5/15/2015,98.23,47.79,15.82,230.03,42.39,14.47855,144.94,49.81,194.45,77.54,37.92,11.63366,32.91,72.84,43.25,111.25,88.48,41.2,1
5/22/2015,96.47,46.3,15.58,228.12,41.78,13.84061,143.26,48.41,197.58,78.08,37.35,13.75248,31.99,69.6,42,110.08,86.76,40.15,1
5/29/2015,93.32,46.35,16.2,222.04,41.88,13.31361,137.3,47.77,202.48,72.3,38.13,12.72277,32,73.71,40.9,109.68,86.89,39.84,1
6/5/2015,92.76,45.56,16,220.94,40.34,13.46154,138.54,46.67,200.59,75.49,39.05,11.82178,31.65,71.65,44.3,108.69,85.68,39.51,1
6/12/2015,93.25,46.8,15.8,221.07,41.08,13.62796,137.78,47.76,204.93,74.61,39.48,11.66337,32,71,44.35,108.93,86.26,39.96,1
6/19/2015,91.91,47.55,16.2,215.44,40.81,13.62796,139.36,46.92,199.9,75.12,39.3,13.0495,32,71.11,44.79,107.2,87.04,39.91,1
6/26/2015,92,48.5,16.7,224.53,41.39,13.70192,141.31,48.07,202.68,76.81,38.57,12.39604,32.75,73.07,47,109,86.49,40.75,1
7/3/2015,91.55,48.77,16.44,225,41.42,13.27663,141,46.52,199.33,78.51,38.39,12.15842,32.2,70.71,47.59,112.01,85.74,40.5,1
7/10/2015,90.19,50.48,16.31,231.86,42.63,13.13794,142.86,44.25,199.29,82.62,38.98,12.16832,32.94,74.24,47,115.71,89.79,41.28,1
7/17/2015,94.07,51.52,16.23,239.21,42.57,13.27663,146.01,45.35,203.54,86.48,39.73,12,32.5,78,46.99,123.12,87.32,42.4,1
7/24/2015,95.08,51.67,15.48,239.4,42,12.13942,143.74,42.41,211.17,88.26,38.45,11.61386,32.3,76.22,48,124.7,84.7,42.51,1
7/31/2015,97.07,52.24,15.67,241.26,43.24,12.73114,146.21,44.07,210.8,89.68,39.14,11.0099,32.4,77,52.1,127.24,85.12,43.37,1
8/7/2015,95.09,52.3,15.65,253.15,43.57,12.74038,148.3,42.8,216.68,86.58,40.16,11.21782,32.19,77.97,52.3,135.19,85.26,43.81,1
8/14/2015,93.07,51.52,15.17,254.94,41.79,12.23188,149.35,41.47,221.27,87.71,38.9,11.0396,32.1,77.95,51.37,135.07,82.99,42.71,1
8/21/2015,91.79,49.14,15.01,239.78,40.37,11.04845,142.55,40.16,215.22,83.99,38.01,9.84158,31.26,76.49,50.6,126.9,77.15,42.55,1
8/28/2015,93.98,50.77,15.45,244.47,41.59,11.8713,146.92,41.94,217.58,85.68,39.84,9.90099,32.2,77.03,51.85,134.96,79.8,40.99,1
9/4/2015,95.29,50.63,14.92,247.22,42.26,11.54771,143.66,40.4,224.63,87.99,40.9,9.44554,32.2,83.25,61.86,140.22,77.62,42.95,1
9/11/2015,94.46,49.78,14.78,250.69,41.96,11.96376,145.31,42.29,228.02,85.45,39.4,10.13861,32.3,87.3,62.98,146.18,76.77,42.43,1
9/18/2015,94.67,51.23,14.83,262.57,42.59,11.90828,150.05,41.68,225.99,86.11,41.32,10.23762,32.29,86.2,66.49,147.99,80.94,44.78,1
9/25/2015,93.39,49.73,14.27,258.3,41.5,10.98373,148.2,40.77,234.62,84.61,40.25,10.26733,32.15,89.6,39.95,146.29,80.38,42.98,1
10/2/2015,94.65,52.42,14.22,260.91,42.56,11.04845,150.57,41,244.39,84.2,41.3,9.75248,31.99,84.49,38.54,146.72,83.88,43.9,1
10/9/2015,97.18,54.41,14.71,261.59,44.25,11.96376,153.95,45.3,251.79,84.37,41.49,9.67327,31.49,82.28,39.79,148.01,83.3,45.18,1
10/16/2015,101.46,54.5,14.26,264.15,44.88,11.95451,158.89,43.09,246.99,84.63,42.58,9.28713,31.06,80.9,39.89,147.42,88.15,46,1
